Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol1260	COc1cc(OC)cc(C(=O)Nc2cccc3cccnc23)c1
Mol1261	CC(=O)Nc1ccccc1NC(=O)C(F)(F)F
Mol1262	C=CCc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12
Mol1263	O=C(O)c1ccn(-c2cccc3cccnc23)c1
Mol1264	CCc1cccc2cccnc12
Mol1265	CC(O/N=C/c1cccc2cccnc12)C1CCCCC1
Mol1266	CCC(C(=O)Nc1cccc2cccnc12)C(C)C
Mol1267	c1ccc(Sc2ccc3ccccc3n2)cc1
Mol1268	Clc1ccc(C(Cl)c2cccc3cccnc23)cc1
Mol1269	Oc1ccccc1-c1cccc2cccnc12
Mol1270	c1cnc2c(Nc3cccc4cccnc34)cccc2c1
Mol1271	C=CC(CCC)CC(=O)Nc1cccc2cccnc12
Mol1272	O=CCCCOc1cccc2cccnc12
Mol1273	FC(F)(F)COc1cccc2cccnc12
Mol1274	CC(=O)NC(C)C(=O)Nc1cccc2cccnc12
Mol1275	CCN(CC)C(=O)COc1cccc2cccnc12
Mol1276	Oc1ccc(CSc2cccc3cccnc23)cc1
Mol1277	Cc1ccc(-c2cccc3cccnc23)cn1
Mol1278	CC(C)Cc1ccnc2ccccc12
Mol1279	Clc1ccc(/N=C/c2cccc3cccnc23)cc1
Mol1280	C=CC(=O)Oc1cccc2cccnc12
Mol1281	Cc1cc(C)cc(C(=O)c2cccc3cccnc23)c1
Mol1282	COc1ccc(C(=O)c2cccc3cccnc23)cc1
Mol1283	O=S(=O)(Nc1ccccc1O)c1cccc2cccnc12
Mol1284	CN(C)C(=O)CSc1cccc2cccnc12
Mol1285	CCOC(=O)C(C)(C)Oc1cccc2cccnc12
Mol1286	CC(CCCN)Cc1cccc2cccnc12
Mol1287	O=C(O)c1ccc(Oc2cccc3cccnc23)cc1
Mol1288	Oc1ccc2ccccc2c1/C=N/Nc1cccc2cccnc12
Mol1289	c1ccc(Oc2ccc3ccccc3n2)cc1
Mol1290	c1cncc(-c2cnc3ccccc3c2)c1
Mol1291	Cc1ccc(-c2cccc3cccnc23)nc1
Mol1292	O=C(Nc1cccc2cccnc12)C1(CCl)CC1
Mol1293	C#CCc1cccc2cccnc12
Mol1294	CC(=O)Nc1ccc(-c2cccnc2O)cc1
Mol1295	O=C(c1ccc(F)cc1)c1cccc2cccnc12
Mol1296	O=[N+]([O-])c1cccc2ncccc12
Mol1297	CCNC(=O)Nc1cccc2cccnc12
Mol1298	O=C(Cl)COc1cccc2cccnc12
Mol1299	Clc1nccc(-c2cccc3cccnc23)n1
Mol1300	O=S(=O)(Nc1cccc2cccnc12)c1ccc(F)cc1
Mol1301	CC(C)c1ccc2ncccc2c1
Mol1302	O=C(Cc1ccccc1Br)Nc1cccc2cccnc12
Mol1303	CNC(=O)N(C)C(=O)Oc1cccc2cccnc12
Mol1304	O=S(=O)(Nc1cccc2cccnc12)C1CC1
Mol1305	Nc1ccc(-c2cccc3cccnc23)nc1
Mol1306	CC(=O)Nc1ccnc2c(Cl)c(Cl)c3ncccc3c12
Mol1307	CCCC(=O)Nc1ccccc1NC(C)=O
Mol1308	O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)s1
Mol1309	Cc1ccc2ccc(-c3ccccc3)cc2n1
Mol1310	OB(O)c1cccc2cccnc12
Mol1311	C/C(=N\Nc1cccc2cccnc12)c1ccc(N)cc1
Mol1312	O=C(Oc1ccc(Cl)cc1)Oc1cccc2cccnc12
Mol1313	N#Cc1ccc(C(=O)OCc2cccc3cccnc23)cc1
Mol1314	CC(C)Cc1ccc2ccccc2n1
Mol1315	Oc1nc(-c2cnc3ccccc3c2)nc2ccccc12
Mol1316	O=C(CCc1ccccc1)Nc1cccc2cccnc12
Mol1317	CC(C)(CO)NC(=O)Nc1cccc2cccnc12
Mol1318	CC(C)S(=O)(=O)Nc1cccc2cccnc12
Mol1319	CC(C)Oc1ccc2cccnc2c1
Mol1320	O=C(Nc1cccc2cccnc12)c1ccc(F)cc1F
Mol1321	COc1ccc(C(=O)Nc2cccc3cccnc23)cc1OC
Mol1322	OC/C=C/COc1cccc2cccnc12
Mol1323	O=C(Oc1cccc2cccnc12)C1C=CC=C1
Mol1324	OCCNc1cccc2cccnc12
Mol1325	N#Cc1ccc(C(=O)Nc2cccc3cccnc23)c(I)c1
Mol1326	O=CCCCNc1cccc2cccnc12
Mol1327	CCC(CCC#N)C(=O)Nc1cccc2cccnc12
Mol1328	O=C(NO)c1cccc(CNc2cccc3cccnc23)c1
Mol1329	Cc1ccc2ccc(-c3ccccn3)cc2n1
Mol1330	O=C(NO)c1ccc(CNc2cccc3cccnc23)cc1
Mol1331	O=C(Nc1cccc2cccnc12)C1CCCCC1O
Mol1332	O=Cc1ccc(Oc2cccc3cccnc23)cc1
Mol1333	c1cnc2c(N3CCCCC3)cccc2c1
Mol1334	CC(C(=O)Nc1cccc2cccnc12)c1ccc(F)cc1
Mol1335	CC(=O)Nc1ccccc1Nc1c2ccccc2nc2ccccc12
Mol1336	Clc1cccc2cccnc12
Mol1337	CCCc1ccc2ncccc2c1
Mol1338	c1ccc(-c2cnc3ccccc3c2)cc1
Mol1339	O=C(/C=C/c1cccc2cccnc12)NO
Mol1340	COc1ccc(C(=O)Nc2cccc3cccnc23)cc1C
Mol1341	Nc1cnc2ccccc2c1
Mol1342	CCC(CC(=O)Nc1cccc2cccnc12)c1ccccc1OC
Mol1343	COc1cccc2cccnc12
Mol1344	CCc1cccc(CC)c1C(=O)Nc1cccc2cccnc12
Mol1345	CC#CCc1cccc2cccnc12
Mol1346	Br/C=C/c1ccc2ccccc2n1
Mol1347	CCc1ccccc1NC(C)=O
Mol1348	CC(CCNc1cccc2cccnc12)c1c(Cl)cccc1Cl
Mol1349	Cc1ccc(C(=O)COc2cccc3cccnc23)cc1
Mol1350	ClCCOc1cccc2cccnc12
Mol1351	CC(C)c1nc(N)ccc1-c1cccc2cccnc12
Mol1352	Cc1cccc(NC(=O)CSc2cccc3cccnc23)c1C
Mol1353	CC(=O)Nc1cccnc1NC(=O)CC1=CCCCC1
Mol1354	N#Cc1ccc(Oc2cccc3cccnc23)cc1
Mol1355	O=C(Nc1cccc2cccnc12)c1ccccc1I
Mol1356	CC/C=C\CC(=O)Nc1cccc2cccnc12
Mol1357	CNCc1cccc2cccnc12
Mol1358	O=C(Cc1cccc2cccnc12)c1ccc(Cl)cc1
Mol1359	CC1(CC(F)(F)F)CN(c2cccc3cccnc23)C1=O
Mol1360	CCC(C(=O)c1ccccc1)c1cccc2cccnc12
Mol1361	CC(C)OCCC(=O)Nc1cccc2cccnc12
Mol1362	CC(CC(=O)Nc1cccc2cccnc12)c1ccccc1F
Mol1363	O=C1C=C(c2cnc3ccccc3c2)C(=O)c2ccccc21
Mol1364	CCCCCCCCCC(=O)Nc1ccc2ccc3cccnc3c2n1
Mol1365	C=CCCC(=O)Nc1cccc2cccnc12
Mol1366	CN(C)Cc1ccc2ccccc2n1
Mol1367	C=CCC(Nc1ccc(C)cc1C)c1cccc2cccnc12
Mol1368	O=S(O)c1ccc2ccccc2n1
Mol1369	CS(=O)(=O)c1cccc2cccnc12
Mol1370	COc1ccc(C(=O)Nc2cccc3cccnc23)c(O)c1OC
Mol1371	CSC(=S)c1cccc2cccnc12
Mol1372	Cc1ccc2ccc(-c3cccc(O)c3)cc2n1
Mol1373	C=CCc1ccccc1OC(=O)c1cccc2cccnc12
Mol1374	N#Cc1ccc(C=O)cc1-c1cccc2cccnc12
Mol1375	O=C(Nc1cccc2cccnc12)c1cc(F)c(F)c(F)c1
Mol1376	Oc1c(F)c(F)c(CSc2cccc3cccnc23)c(F)c1F
Mol1377	CC(C)NC(=O)Nc1cccc2cccnc12
Mol1378	Oc1ccccc1-c1ccc2ccccc2n1
Mol1379	C=CCSc1cccc2cccnc12
Mol1380	CC(C)(C)/N=C/c1cccc2cccnc12
Mol1381	Cc1ccc2ccc(C)nc2c1
Mol1382	O=C(Nc1cccc2cccnc12)c1ccccc1F
Mol1383	C=CCC(Nc1ccc(OC)cc1)c1cccc2cccnc12
Mol1384	CCCCc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol1385	CCCc1nc(N)ccc1-c1cccc2cccnc12
Mol1386	Cc1cccc(NC(=O)c2ccc3ccccc3n2)n1
Mol1387	CC(C)CSc1cccc2cccnc12
Mol1388	CC(=O)NC(CC(C)C)C(=O)Nc1cccc2cccnc12
Mol1389	O=C(O)c1ccnc2ccccc12
Mol1390	Brc1cccc(-c2cnc3ccccc3c2)c1
Mol1391	Cc1cc(C)c2ccccc2n1
Mol1392	C1=CCN(c2cnc3ccccc3c2)C1
Mol1393	NCC(F)(F)c1cccc2cccnc12
Mol1394	COc1ccccc1C(C)C(O)CNc1cccc2cccnc12
Mol1395	FC(F)c1cnc2ccccc2c1
Mol1396	O=S(=O)(Nc1ccccc1Br)c1cccc2cccnc12
Mol1397	OC1CCC/C1=C/Cc1cccc2cccnc12
Mol1398	N#CCc1ccc2ccccc2n1
Mol1399	CC(C)(N)c1cccc2cccnc12
Mol1400	C1=C(c2cnc3ccccc3c2)CCNC1
Mol1401	c1ccc2cc3nc4ccccc4nc3cc2c1
Mol1402	CC(C)(C)Oc1ccnc2ccccc12
Mol1403	C=CCCCC(=O)Nc1cccc2cccnc12
Mol1404	Cc1ccc(C(=O)Nc2cccc3cccnc23)c(O)c1
Mol1405	CCOc1cccc2cccnc12
Mol1406	O=C(Nc1cccc2cccnc12)C1CC1
Mol1407	N#Cc1ccc(C(=O)Nc2cccc3cccnc23)c(O)c1
Mol1408	O=S(=O)(Nc1cccc2cccnc12)c1nccs1
Mol1409	COC(CC(=O)Nc1cccc2cccnc12)OC(C)C
Mol1410	Cc1cnc2ccccc2n1
Mol1411	CC(=O)c1ccc(Cc2cccc3cccnc23)cc1
Mol1412	CCCC1CC(=O)N1c1cccc2cccnc12
Mol1413	C(#Cc1ccc2ccccc2n1)c1ccccc1
Mol1414	CCC(C)(CCl)C(=O)Nc1cccc2cccnc12
Mol1415	O=C(O)c1cccc2cccnc12
Mol1416	Fc1ccc(C#Cc2cccc3cccnc23)cc1
Mol1417	COc1cccnc1C(C)CC(=O)Nc1cccc2cccnc12
Mol1418	C=CCC(C)C(=O)Nc1cccc2cccnc12
Mol1419	CCC(C)Oc1ccc2ccccc2n1
Mol1420	COC(=O)CCC(C)C(=O)Nc1cccc2cccnc12
Mol1421	CCCCCc1cccc2cccnc12
Mol1422	COc1ccccc1CCCNc1cccc2cccnc12
Mol1423	N#Cc1ccc2ccccc2n1
Mol1424	FC(F)(F)c1ccc(Sc2cccc3cccnc23)cc1
Mol1425	CCCCNc1cccc2cccnc12
Mol1426	Nc1nc(N)nc(-c2cnc3ccccc3c2)n1
Mol1427	C=CC(C)C(C)C(=O)Nc1cccc2cccnc12
Mol1428	Cc1csc(NC(=O)c2ccc3ccccc3n2)n1
Mol1429	FC(F)c1cccc2ncccc12
Mol1430	CC(C)(C(=O)c1cccc2cccnc12)c1ccccc1
Mol1431	CC(=O)c1ccc2ccccc2n1
Mol1432	O=C(/C=C/c1cccs1)Nc1cccc2cccnc12
Mol1433	O=C(O)CCC(=O)Nc1cccc2cccnc12
Mol1434	CC(=O)Nc1ccccc1C(=O)N(C)C
Mol1435	O=C(NCc1ccccc1)c1cccc2cccnc12
Mol1436	O=C(Cc1ccc(C(=O)O)cc1)Nc1cccc2cccnc12
Mol1437	CC(C)(C)Oc1ccc2ccccc2n1
Mol1438	Cn1cc(NC(=O)c2cccc3cccnc23)ccc1=O
Mol1439	Cc1noc(C)c1C(=O)Nc1cccc2cccnc12
Mol1440	CC(=O)Nc1ccc([N+](=O)[O-])c2cccnc12
Mol1441	FC(F)(F)c1cccc2ncccc12
Mol1442	CCC(CC)C(=O)Nc1cccc2cccnc12
Mol1443	Brc1ccc(Cc2cccc3cccnc23)cc1
Mol1444	CCC(C)c1cccc2cccnc12
Mol1445	O=C(Nc1cccc2cccnc12)OCc1ccccc1
Mol1446	CCOC(=O)c1cc(COc2cccc3cccnc23)on1
Mol1447	O=C(CCCCCC(=O)Nc1cccc2cccnc12)NS
Mol1448	CCC(C)(O)/C(=C/C#N)Oc1cccc2cccnc12
Mol1449	Cn1cnc(S(=O)(=O)Nc2cccc3cccnc23)c1
Mol1450	FC(F)(F)c1ccc(Oc2cccc3cccnc23)cc1
Mol1451	COC(=O)/C=C/c1cnc2ccccc2c1
Mol1452	O=C(COc1cccc2cccnc12)NC1CC1
Mol1453	c1ccc(CNCCc2cccc3cccnc23)cc1
Mol1454	Cl.Nc1ccc(-c2ccc3ccccc3n2)cc1
Mol1455	C/C(=N\Nc1cccc2cccnc12)c1ccccn1
Mol1456	COc1cc(NC(C)=O)c2ncccc2c1Br
Mol1457	O=C(Nc1cccc2cccnc12)c1ccc(Br)cc1
Mol1458	CCO/C(C)=N/Oc1cnc2ccccc2c1
Mol1459	CSSc1ccc2ccccc2n1
Mol1460	O=S(=O)(Nc1cccc2cccnc12)c1ccc(F)c(F)c1
Mol1461	O=C(Nc1cccc2cccnc12)c1cnccn1
Mol1462	ICc1cccc2cccnc12
Mol1463	CC(=O)OCC(=O)CSc1cccc2cccnc12
Mol1464	c1ccc2cc(-c3ccc4ccccc4n3)ccc2c1
Mol1465	C=CC(Cc1cccc(OC)c1)C(=O)Nc1cccc2cccnc12
Mol1466	CC(=O)Cc1ccc2ccccc2n1
Mol1467	Nc1ccc(C(=O)Nc2cccc3cccnc23)o1
Mol1468	O=CNc1cccc2cccnc12
Mol1469	O=C(Nc1ccccc1)c1cccc2cccnc12
Mol1470	COC(=O)CC1(C(=O)Nc2cccc3cccnc23)CCCC1
Mol1471	CCC(=O)Nc1cccc2cccnc12
Mol1472	O=[N+]([O-])c1cnc2ccccc2c1
Mol1473	CCN(CC)C(=O)Oc1cccc2cccnc12
Mol1474	O=S(O)c1ccnc2ccccc12
Mol1475	O=Cc1cccc2ncccc12
Mol1476	NC(c1ccc(F)cc1)C(O)c1cccc2cccnc12
Mol1477	CC(=O)c1ccc(C(=O)c2cccc3cccnc23)cc1
Mol1478	NCc1cccc2cccnc12
Mol1479	CCC(Cl)COS(=O)(=O)c1cccc2cccnc12
Mol1480	ClCc1ccc(-c2cccc3cccnc23)cc1
Mol1481	Cc1cc(Cl)cc(C(=O)Nc2cnc3ccccc3c2)c1
Mol1482	Cc1cccc(C)c1-c1cccc2cccnc12
Mol1483	Fc1cccc2cccnc12
Mol1484	Cc1ccc(/C=N/Nc2cccc3cccnc23)c(O)c1
Mol1485	CC(C)(C)OC(=O)Oc1cccc2cccnc12
Mol1486	CCC(C)(CC)C(=O)Nc1cccc2cccnc12
Mol1487	Cc1ccc(/C=C/C(=O)Nc2cccc3cccnc23)cc1
Mol1488	Brc1cnc(OCc2cccc3cccnc23)cn1
Mol1489	C=CB(Oc1cccc2cccnc12)c1ccccc1Cl
Mol1490	CC(C)c1ccc2cccnc2c1
Mol1491	C=CC(=O)Nc1cccc2cccnc12
Mol1492	COc1ccc(NC(=O)COc2cccc3cccnc23)cc1
Mol1493	c1cnc2c(c1)ccc1cccnc12
Mol1494	O=C(NO)C(Oc1cccc2cccnc12)c1ccccc1
Mol1495	Cc1ccc2cccc(-c3cccc4ccccc34)c2n1
Mol1496	O=C(Sc1cccc2cccnc12)c1ccccc1Br
Mol1497	OSOc1cccc2cccnc12
Mol1498	CC(Br)c1cccc2cccnc12
Mol1499	Cc1ccc2c(C(=O)O)cccc2n1
Mol1500	O=C(Nc1ccc(Cl)cc1)Nc1cccc2cccnc12
Mol1501	CC(N)c1cccc2cccnc12
Mol1502	O=C(Cc1ccccc1)Nc1cccc2cccnc12
Mol1503	Cc1c[nH]nc1C(=O)Nc1cccc2cccnc12
Mol1504	CC1C=COC(Oc2cccc3cccnc23)C1
Mol1505	CC(=O)N(C(=O)c1ccccc1)c1cccc2cccnc12
Mol1506	CC(=O)N(C)c1cccc2cccnc12
Mol1507	O=C(Nc1cccc2cccnc12)c1ccncc1
Mol1508	CC(C)CC(=O)Nc1cccc2cccnc12
Mol1509	O=C(Oc1cccc2cccnc12)c1ccccc1
Mol1510	C/C=C/C(=O)Oc1cccc2cccnc12.Cl
Mol1511	O=C(Cc1ccccc1)c1cccc2cccnc12
Mol1512	CCC(CO)C(=O)Nc1cccc2cccnc12
Mol1513	C=COc1cccc2cccnc12
Mol1514	c1ccc2ncc(N3CCCC3)cc2c1
Mol1515	FC(F)(F)c1ccc(-c2cccc3cccnc23)cc1
Mol1516	O=C1CCC(C(=O)Nc2cccc3cccnc23)CC1
Mol1517	NC(=O)c1cnc2ccccc2c1
Mol1518	Cc1cc(Cl)c2ccccc2n1.O
Mol1519	CC(=O)c1cccc2ncccc12
Mol1520	CC(=O)CC(=O)Nc1cccc2cccnc12
Mol1521	O=C(Nc1cccc(Cl)c1)Oc1cccc2cccnc12
Mol1522	c1ccc(Cc2ccc3ccccc3n2)cc1
Mol1523	CC(=O)Nc1nc(-c2ccccn2)cc2ccccc12
Mol1524	CC(=O)/C(=N\Nc1ccccc1)Sc1cccc2cccnc12
Mol1525	CCCCCc1ccc2ccccc2n1
Mol1526	Brc1cccc(-c2cccc3cccnc23)c1
Mol1527	NCC#Cc1cnc2ccccc2c1
Mol1528	Cc1ccc2nc(-c3ccccc3)ccc2c1
Mol1529	C/N=N/c1cccc2cccnc12
Mol1530	Oc1ccccc1/N=C/c1cccc2cccnc12
Mol1531	Cc1ccsc1/C=C/c1ccc2ccccc2n1
Mol1532	C=CC(C)(C)CC(=O)Nc1cccc2cccnc12
Mol1533	ClCc1cccc2cccnc12
Mol1534	CC1(C(=O)O)CC(c2cccc3cccnc23)=NO1
Mol1535	c1cnc2c(NC3CCCCC3)cccc2c1
Mol1536	O=S(=O)(O)Oc1cnc2ccccc2c1
Mol1537	O=C(c1cccc2cccnc12)n1ccnc1
Mol1538	CN(C)CCCNC(=O)c1cccc2cccnc12
Mol1539	CC(=O)NC(c1cccs1)c1ccc2cccnc2c1O
Mol1540	O=S(=O)(Nc1cccc2cccnc12)c1cccnc1
Mol1541	O=Cc1c(Cl)cccc1NCc1cccc2cccnc12
Mol1542	O=C(c1ccccc1)c1cccc2cccnc12
Mol1543	CCOC(=O)CC(=O)Nc1cccc2cccnc12
Mol1544	CC(C)=CCOCCC(=O)Nc1cccc2cccnc12
Mol1545	CCCc1ccnc2ccccc12
Mol1546	c1ccc(Sc2cnc3ccccc3c2)cc1
Mol1547	CCc1ccc2cccnc2c1
Mol1548	S=C(S)c1ccc2ccccc2n1
Mol1549	C=C(C)c1cccc2cccnc12
Mol1550	Oc1cnc2ccccc2c1
Mol1551	O=C(Nc1cccc2cccnc12)c1sc2ccccc2c1Cl
Mol1552	Brc1ccnc(Oc2cccc3cccnc23)c1
Mol1553	CCCNC(=O)Nc1cccc2cccnc12
Mol1554	Cl.NC(=S)c1cccc2cccnc12
Mol1555	CC(CCCNc1cccc2cccnc12)c1ccccc1Cl
Mol1556	CC(C)c1ccnc2ccccc12
Mol1557	COC(Oc1cccc2cccnc12)c1ccc(Cl)c(Cl)c1
Mol1558	CC(C)OC(=O)COc1cccc2cccnc12
Mol1559	O=C(Nc1cccc2cccnc12)c1ccc(Cl)nc1
Mol1560	O=[N+]([O-])/C=C/c1cccc2cccnc12
Mol1561	CC(=O)c1ccccc1OCCCOc1cccc2cccnc12
Mol1562	Cc1cc(C(=O)O)nn1-c1cnc2ccccc2c1
Mol1563	c1ccc2ncc(CC3CCNCC3)cc2c1
Mol1564	O=C(O)/C=C/C=C/c1cccc2cccnc12
Mol1565	Cc1cccc(NC(=O)Nc2cccc3cccnc23)c1
Mol1566	Cc1cc(C)cc(Cc2cccc3cccnc23)c1
Mol1567	CC(=O)c1cccc(OCCCOc2cccc3cccnc23)c1
Mol1568	Clc1ccc2ccccc2n1
Mol1569	FC(F)=Cc1cccc2cccnc12
Mol1570	N#C/C=C\Oc1cccc2cccnc12
Mol1571	COc1cccc(COc2cccc3cccnc23)c1
Mol1572	CC(CO)C(=O)Nc1cccc2cccnc12
Mol1573	CC(=O)Nc1cccc(F)c1-c1nc[nH]n1
Mol1574	CCc1ccc(C(=O)Nc2cccc3cccnc23)c(I)c1
Mol1575	c1ccc(CCSc2cccc3cccnc23)cc1
Mol1576	O=C(NCc1ccccn1)c1cccc2cccnc12
Mol1577	CC(C)(C(=O)Nc1cccc2cccnc12)C1CCCC1
Mol1578	CCC(=O)NCc1cccc2cccnc12
Mol1579	c1ccc2cc(-c3ccc4ccccc4n3)ncc2c1
Mol1580	Cc1cccc(C(=O)Nc2cnc3ccccc3c2)c1Br
Mol1581	CCCNC(=O)Oc1cccc2cccnc12
Mol1582	COc1cccc(C(=O)Nc2cccc3cccnc23)c1C
Mol1583	O=C(O)c1ccc2cccnc2c1O
Mol1584	CC(C)(C)c1cccc(CNc2cccc3cccnc23)c1O
Mol1585	CCOC(CC(=O)Nc1cccc2cccnc12)OC
Mol1586	CSc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol1587	CC(=O)CC/C=C/c1cccc2cccnc12
Mol1588	Cc1sc(-c2cnc3ccccc3c2)nc1O
Mol1589	CC(C)Oc1cccc2cccnc12.Cl
Mol1590	Nc1ccc2ccccc2n1
Mol1591	CCC(C)c1cnc2ccccc2c1
Mol1592	Cc1ccc2ncc(CCN)cc2c1
Mol1593	O=C(O)c1cnc2ccccc2c1
Mol1594	O=C(OCc1ccccc1)Oc1cccc2cccnc12
Mol1595	Cc1ccc2c(N)nc3ccccc3c2n1
Mol1596	CC(=O)Nc1ccccc1C(=O)C(=O)O
Mol1597	CCc1ccc2ncccc2c1
Mol1598	CCCCc1cccc2ncccc12
Mol1599	CC(C)(C)/C=C/C(=O)Nc1cccc2cccnc12
Mol1600	CCS(=O)(=O)c1cccc2cccnc12
Mol1601	CC(C)(C)NC(=O)c1ccc2ccccc2n1
Mol1602	CN(C(=O)Nc1cnc2ccccc2c1)c1ccccc1
Mol1603	COc1ccc(Br)c(COc2cccc3cccnc23)c1
Mol1604	COCNC(=O)c1cccc2cccnc12
Mol1605	C=CC(C(=O)Nc1cccc2cccnc12)C1CCCC1
Mol1606	CCCCCCCCCCCCCCc1ccc2ccccc2n1
Mol1607	FC(F)(F)CSc1cccc2cccnc12
Mol1608	C=COCC(C)(C)C(=O)Nc1cccc2cccnc12
Mol1609	CNNCc1cccc2cccnc12
Mol1610	FCc1cccc2cccnc12
Mol1611	Cc1c(Br)cccc1C(=O)Nc1cccc2cccnc12
Mol1612	COC(CC(=O)Nc1cccc2cccnc12)c1ccccc1
Mol1613	C=C(C)C(=O)Oc1cccc2cccnc12
Mol1614	Cc1ccc(F)c(C(=O)Nc2cccc3cccnc23)c1F
Mol1615	COc1ccc(NC(=O)Cc2cccc3cccnc23)cc1
Mol1616	c1ccc2ncc(C3CCCN3)cc2c1
Mol1617	O=C(Nc1cccc2cccnc12)c1ccncc1F
Mol1618	C=C(C)CCc1ccccc1OC(=O)c1cccc2cccnc12
Mol1619	C(=C/c1cnc2ccccc2c1)\c1ccccc1
Mol1620	CC(C)C(=O)Cc1ccc2ccccc2n1
Mol1621	CC(=O)CCc1cccc2cccnc12
Mol1622	ONc1cccc2cccnc12
Mol1623	O=S(=O)(O)c1cccc2cccnc12
Mol1624	O=C(CS)Nc1cccc2cccnc12
Mol1625	COCc1cccc2cccnc12
Mol1626	COC(=O)Nc1cccc2cccnc12
Mol1627	COCCOc1cccc2cccnc12
Mol1628	CCOC(=O)C(Sc1cccc2cccnc12)C(C)=O
Mol1629	CC(CCNc1cccc2cccnc12)c1ccccc1Br
Mol1630	CCCCC(=O)c1cccc2cccnc12
Mol1631	CCOC(=O)CCCC(=O)Nc1cccc2cccnc12
Mol1632	FC(F)(F)C(Nc1cccc2cccnc12)c1cccnc1
Mol1633	CCC(C)(Cc1ccc(C)s1)C(=O)Nc1cccc2cccnc12
Mol1634	Cc1cccc(-c2cccc3cccnc23)c1
Mol1635	COC(=O)c1ccc2ccccc2n1
Mol1636	O=[N+]([O-])OCc1cccc2cccnc12
Mol1637	Fc1c(F)c(F)c(COc2cccc3cccnc23)c(F)c1F
Mol1638	CC(=O)Nc1ccc(Oc2ncccn2)cc1
Mol1639	CCCC(CCC)C(=O)Nc1cccc2cccnc12
Mol1640	COc1ccc(Br)cc1C(C)CCNc1cccc2cccnc12
Mol1641	CCC(C)Oc1cccc2cccnc12
Mol1642	C=C(C(=O)Nc1cccc2cccnc12)c1ccc(I)cc1
Mol1643	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1O
Mol1644	CC(=O)CCCCc1cccc2cccnc12
Mol1645	COc1ccc(-c2ccc3ccccc3n2)cc1
Mol1646	COc1cc2ccccc2nn1
Mol1647	CCCCOc1ccc2ccccc2n1
Mol1648	Cc1nc2ccccc2cc1C(=O)O
Mol1649	ClCc1cccc(COc2cccc3cccnc23)c1
Mol1650	C/C=C/c1ccccc1C(=O)Nc1cccc2cccnc12
Mol1651	c1ccc(-c2cccc3ncccc23)cc1
Mol1652	CC(=O)Nc1cccc2c(C(=O)N3CCCC3)ccnc12
Mol1653	Nc1cc(Br)ccc1-c1cccc2cccnc12
Mol1654	CC(F)CC(=O)Nc1cccc2cccnc12
Mol1655	O=C(Nc1cccc2cccnc12)OCC(Cl)(Cl)Cl
Mol1656	CC(=O)Oc1cccnc1C(=O)Nc1cccc2cccnc12
Mol1657	CNC(=S)Nc1cccc2cccnc12
Mol1658	CC(C)Cc1ccc2ncccc2c1
Mol1659	C=CCc1cc(C)ccc1C(=O)Nc1cccc2cccnc12
Mol1660	O=C(Nc1cccc2cccnc12)c1ccoc1I
Mol1661	CNC(=O)c1cccc2cccnc12
Mol1662	Cc1cnc2c(C(N)=O)cccc2c1
Mol1663	CCCOC(=O)Nc1cccc2cccnc12
Mol1664	O=C1CC(CC(Cl)(Cl)Cl)N1c1cccc2cccnc12
Mol1665	O=C(O)c1cccc2ncccc12
Mol1666	O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12
Mol1667	Cc1ccc(C#Cc2ccc3ccccc3n2)nc1
Mol1668	CC(=O)CCc1cscc1C(=O)Nc1cccc2cccnc12
Mol1669	CC(C)(C)C(=O)Nc1cccc2cccnc12
Mol1670	COC(=O)C(Sc1cccc2cccnc12)C(C)=O
Mol1671	O=C(O)c1ccc(-c2cccc3cccnc23)s1
Mol1672	O=C(Oc1cccc2cccnc12)n1ccnc1
Mol1673	COc1ccc(CCNCC(=O)Nc2cccc3cccnc23)cc1
Mol1674	Cc1nc(Nc2cnc3ccccc3c2)c(C)c(C)c1O
Mol1675	O=C(OCc1cccc2cccnc12)c1cccc(Cl)c1
Mol1676	O=S(O)c1ccc2ncccc2c1
Mol1677	O=C(Nc1cccc2cccnc12)c1cccc2ccccc12
Mol1678	COC(=O)C(C)Oc1cccc2cccnc12
Mol1679	O/N=C/c1ccc2ccccc2n1
Mol1680	Nc1nccc(-c2cnc3ccccc3c2)n1
Mol1681	COC(=O)c1ccn(-c2cccc3cccnc23)c1
Mol1682	OCCSc1cccc2cccnc12
Mol1683	C=COCC(C)(CCC)C(=O)Nc1cccc2cccnc12
Mol1684	CCc1cc(C)ccc1C(=O)Nc1cccc2cccnc12
Mol1685	Nc1cccc2ncccc12
Mol1686	CCCCOc1cnc2ccccc2c1
Mol1687	COc1cccc(CNc2cccc3cccnc23)c1O
Mol1688	O=C(NC(=S)Nc1cccc2cccnc12)c1cccs1
Mol1689	c1ccc(Cc2cnc3ccccc3c2)cc1
Mol1690	CNS(=O)(=O)c1cccc2cccnc12
Mol1691	O=C(Nc1cccc2cccnc12)c1ccccc1Cl
